# Pathway	5492_S3_Coverage	5501_S5_Coverage
SO4ASSIM-PWY: sulfate reduction I (assimilatory)	0.0000000000	0.0000000000
SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis	0.0000000000	0.0000000000
TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA	0.0000000000	0.0000000000
TCA: TCA cycle I (prokaryotic)	0.0000000000	0.0000000000
THISYNARA-PWY: superpathway of thiamin diphosphate biosynthesis III (eukaryotes)	0.0000000000	0.0000000000
THRESYN-PWY: superpathway of L-threonine biosynthesis	0.0000000000	0.0000000000
TRNA-CHARGING-PWY: tRNA charging	0.0000000000	0.0000000000
TRPSYN-PWY: L-tryptophan biosynthesis	1.0000000000	1.0000000000
TYRFUMCAT-PWY: L-tyrosine degradation I	0.0000000000	0.0000000000
UBISYN-PWY: superpathway of ubiquinol-8 biosynthesis (prokaryotic)	0.0000000000	0.0000000000
UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I	1.0000000000	1.0000000000
URSIN-PWY: ureide biosynthesis	0.0000000000	0.0000000000
VALSYN-PWY: L-valine biosynthesis	1.0000000000	1.0000000000
