# Pathway	5492_S3_Abundance	5501_S5_Abundance
PWY-3001: superpathway of L-isoleucine biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	26.2845084486	62.2840693938
PWY-3001: superpathway of L-isoleucine biosynthesis I|unclassified	660.0991524855	852.0174532727
PWY-3781: aerobic respiration I (cytochrome c)|g__Acidovorax.s__Acidovorax_avenae	2729.8759632690	5415.3307255541
PWY-3781: aerobic respiration I (cytochrome c)|g__Caulobacter.s__Caulobacter_sp_774	429.6489784376	758.2183945137
PWY-3781: aerobic respiration I (cytochrome c)|g__Massilia.s__Massilia_sp_BSC265	1573.8252064203	0
PWY-3781: aerobic respiration I (cytochrome c)|g__Massilia.s__Massilia_sp_LC238	7028.7479217911	5253.2872927174
PWY-3781: aerobic respiration I (cytochrome c)|g__Sphingobium.s__Sphingobium_yanoikuyae	56.9603334906	58.6394064273
PWY-3781: aerobic respiration I (cytochrome c)|unclassified	1007.1107471984	1566.7872275495
PWY-3841: folate transformations II|g__Acidovorax.s__Acidovorax_avenae	364.6273335673	959.0906456538
PWY-3841: folate transformations II|g__Caulobacter.s__Caulobacter_sp_774	276.4997355095	552.8744589532
PWY-3841: folate transformations II|g__Massilia.s__Massilia_sp_LC238	3555.9624653372	2550.0009079647
PWY-3841: folate transformations II|g__Sphingobium.s__Sphingobium_yanoikuyae	0	35.1369168579
PWY-3841: folate transformations II|unclassified	490.7534133015	636.5793169042
PWY-3941: &beta;-alanine biosynthesis II|unclassified	219.7174866281	336.8438722376
PWY-4221: pantothenate and coenzyme A biosynthesis II (plants)|unclassified	419.1217482868	653.4201266505
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Acidovorax.s__Acidovorax_avenae	236.7660333102	596.8873074779
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Caulobacter.s__Caulobacter_sp_774	261.4112797694	551.0921136200
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Massilia.s__Massilia_sp_BSC265	437.5837160969	0
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Massilia.s__Massilia_sp_LC238	2116.6086443944	1553.8791180712
PWY-4242: pantothenate and coenzyme A biosynthesis III|g__Sphingobium.s__Sphingobium_yanoikuyae	0	35.7818614773
PWY-4242: pantothenate and coenzyme A biosynthesis III|unclassified	1008.8269717922	1484.0151559018
PWY-4702: phytate degradation I|unclassified	18.2926829268	48.2587345134
PWY-4981: L-proline biosynthesis II (from arginine)|unclassified	133.8435127255	0
PWY-4984: urea cycle|g__Acidovorax.s__Acidovorax_avenae	931.9799642241	2193.2943829436
PWY-4984: urea cycle|unclassified	144.9060549357	362.8116492442
PWY-5005: biotin biosynthesis II|unclassified	167.9222919397	203.2502308185
PWY-5022: 4-aminobutanoate degradation V|unclassified	548.5648801780	570.0880157152
PWY-5028: L-histidine degradation II|g__Acidovorax.s__Acidovorax_avenae	464.8080775225	1105.9203195558
PWY-5028: L-histidine degradation II|unclassified	543.8600323487	324.1065346781
PWY-5097: L-lysine biosynthesis VI|g__Acidovorax.s__Acidovorax_avenae	710.5020288691	1635.7806609713
PWY-5097: L-lysine biosynthesis VI|g__Caulobacter.s__Caulobacter_sp_774	282.1790107481	615.8026932852
PWY-5097: L-lysine biosynthesis VI|g__Massilia.s__Massilia_sp_BSC265	761.7659951249	0
PWY-5097: L-lysine biosynthesis VI|g__Massilia.s__Massilia_sp_LC238	2541.8860669060	1934.6346904787
PWY-5097: L-lysine biosynthesis VI|g__Sphingobium.s__Sphingobium_yanoikuyae	0	59.0747738555
PWY-5097: L-lysine biosynthesis VI|unclassified	529.0790795896	725.8061036244
PWY-5100: pyruvate fermentation to acetate and lactate II|unclassified	116.7447980434	180.9499143086
PWY-5103: L-isoleucine biosynthesis III|g__Acidovorax.s__Acidovorax_avenae	1321.2103137835	2968.5351653090
PWY-5103: L-isoleucine biosynthesis III|g__Caulobacter.s__Caulobacter_sp_774	345.3772764008	669.8423218054
PWY-5103: L-isoleucine biosynthesis III|g__Massilia.s__Massilia_sp_BSC265	1005.9139511973	0
PWY-5103: L-isoleucine biosynthesis III|g__Massilia.s__Massilia_sp_LC238	3750.4355586276	2985.5412576008
PWY-5103: L-isoleucine biosynthesis III|g__Sphingobium.s__Sphingobium_yanoikuyae	37.9166756365	65.8239883285
PWY-5103: L-isoleucine biosynthesis III|unclassified	536.0588501199	737.4410321136
PWY-5104: L-isoleucine biosynthesis IV|g__Acidovorax.s__Acidovorax_avenae	558.9968948373	1283.8077776537
PWY-5104: L-isoleucine biosynthesis IV|unclassified	222.6779376029	547.0569431454
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)|unclassified	147.9120855880	230.8600682402
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)|g__Acidovorax.s__Acidovorax_avenae	1495.0560462227	3655.0933139569
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)|g__Sphingobium.s__Sphingobium_yanoikuyae	0	36.0380210678
PWY-5136: fatty acid &beta;-oxidation II (peroxisome)|unclassified	3007.9700986528	2442.8973823514
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation|g__Acidovorax.s__Acidovorax_avenae	1673.1440609283	4089.7242913232
PWY-5138: unsaturated, even numbered fatty acid &beta;-oxidation|unclassified	1309.2456192065	1111.6721488899
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Acidovorax.s__Acidovorax_avenae	972.2863154655	2193.4663687179
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|g__Caulobacter.s__Caulobacter_sp_774	256.3902041457	510.9244744165
PWY-5154: L-arginine biosynthesis III (via N-acetyl-L-citrulline)|unclassified	162.8753514202	450.5268295215
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Acidovorax.s__Acidovorax_avenae	774.6123357355	1960.9191081797
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1229.9254320430	0
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Massilia.s__Massilia_sp_LC238	2971.0038617671	2828.7839488094
PWY-5173: superpathway of acetyl-CoA biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	23.6757822774	96.2531988531
PWY-5173: superpathway of acetyl-CoA biosynthesis|unclassified	522.0472420464	786.6802617343
PWY-5178: toluene degradation IV (aerobic) (via catechol)|unclassified	84.5943240452	0
PWY-5180: toluene degradation I (aerobic) (via o-cresol)|unclassified	913.1592979062	0
PWY-5181: toluene degradation III (aerobic) (via p-cresol)|unclassified	167.7365278141	111.9179307581
PWY-5182: toluene degradation II (aerobic) (via 4-methylcatechol)|unclassified	913.1592979062	0
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Acidovorax.s__Acidovorax_avenae	580.6163778206	1256.3927577544
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|g__Massilia.s__Massilia_sp_LC238	2097.2386459101	1743.3589716767
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)|unclassified	633.4623437995	867.9923762610
PWY-5189: tetrapyrrole biosynthesis II (from glycine)|g__Caulobacter.s__Caulobacter_sp_774	219.8661287023	484.6580431843
PWY-5189: tetrapyrrole biosynthesis II (from glycine)|g__Massilia.s__Massilia_sp_LC238	1742.3484179312	1181.6675895288
PWY-5189: tetrapyrrole biosynthesis II (from glycine)|g__Sphingobium.s__Sphingobium_yanoikuyae	0	54.0888895567
PWY-5189: tetrapyrrole biosynthesis II (from glycine)|unclassified	668.6451252340	790.8898697679
PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)|unclassified	96.8330784440	61.2743535267
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)|unclassified	536.0400370531	752.4301675539
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)|unclassified	468.9423743668	597.0422733915
PWY-5384: sucrose degradation IV (sucrose phosphorylase)|unclassified	461.8808019192	813.9115800605
PWY-5415: catechol degradation I (meta-cleavage pathway)|unclassified	64.2921853719	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)|unclassified	1253.1091782125	603.1319002816
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate|unclassified	1253.1091782125	603.1319002816
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle|unclassified	364.3742394357	0
PWY-5484: glycolysis II (from fructose 6-phosphate)|unclassified	368.0492017115	488.6893887379
PWY-5505: L-glutamate and L-glutamine biosynthesis|unclassified	229.9676925665	0
PWY-5508: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II|unclassified	0	65.6126099393
PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I|unclassified	0	65.0924423327
PWY-5534: propylene degradation|unclassified	39.4134461342	185.9689607295
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation|unclassified	242.1409155821	141.7224186345
PWY-5659: GDP-mannose biosynthesis|g__Massilia.s__Massilia_sp_LC238	1079.7563973851	1081.7585592710
PWY-5659: GDP-mannose biosynthesis|unclassified	820.8790612102	1377.5408103229
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	202.5013687442	684.5860090104
PWY-5675: nitrate reduction V (assimilatory)|unclassified	823.2179506852	714.0029260671
PWY-5676: acetyl-CoA fermentation to butanoate II|unclassified	315.7500135806	364.8177162228
PWY-5686: UMP biosynthesis|g__Acidovorax.s__Acidovorax_avenae	475.8071567335	1184.1879332886
PWY-5686: UMP biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	346.9301296465	676.8111296466
PWY-5686: UMP biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1425.1619120094	0
PWY-5686: UMP biosynthesis|g__Massilia.s__Massilia_sp_LC238	3416.5816106587	2704.5230744117
PWY-5686: UMP biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	21.7864728205	50.0120158167
PWY-5686: UMP biosynthesis|unclassified	766.5636706448	1380.4677152631
PWY-5690: TCA cycle II (plants and fungi)|unclassified	488.1603676782	444.0214854391
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Acidovorax.s__Acidovorax_avenae	1503.7198324865	3364.9343421087
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Massilia.s__Massilia_sp_BSC265	866.7194359006	0
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|g__Massilia.s__Massilia_sp_LC238	2386.2530056758	2015.7238146242
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation|unclassified	1317.4961843223	1933.3459566542
PWY-5705: allantoin degradation to glyoxylate III|unclassified	0	156.6704690640
PWY-5723: Rubisco shunt|unclassified	368.8029529236	171.2066597868
PWY-5747: 2-methylcitrate cycle II|unclassified	297.8694956521	402.0531420488
PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)|unclassified	73.9146572814	0
PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I|unclassified	73.9146572814	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I|unclassified	115.9417762240	0
PWY-5840: superpathway of menaquinol-7 biosynthesis|unclassified	85.8000287555	0
PWY-5845: superpathway of menaquinol-9 biosynthesis|unclassified	85.8000287555	0
PWY-5850: superpathway of menaquinol-6 biosynthesis I|unclassified	85.8000287555	0
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_BSC265	715.0309148340	0
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_LC238	2558.1892156346	2099.4890014298
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)|unclassified	614.5740668508	1130.1159447830
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_BSC265	715.0309148340	0
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_LC238	2558.1892156346	2099.4890014298
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)|unclassified	614.5740668508	1130.1159447830
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_BSC265	715.0309148340	0
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)|g__Massilia.s__Massilia_sp_LC238	2558.1892156346	2099.4890014298
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)|unclassified	614.5740668508	1130.1159447830
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I|unclassified	57.6252695635	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis|unclassified	78.0730656791	0
PWY-5862: superpathway of demethylmenaquinol-9 biosynthesis|unclassified	57.6252695635	0
PWY-5863: superpathway of phylloquinol biosynthesis|unclassified	82.5750806887	0
PWY-5896: superpathway of menaquinol-10 biosynthesis|unclassified	85.8000287555	0
PWY-5897: superpathway of menaquinol-11 biosynthesis|unclassified	109.3011106982	0
PWY-5898: superpathway of menaquinol-12 biosynthesis|unclassified	109.3011106982	0
PWY-5899: superpathway of menaquinol-13 biosynthesis|unclassified	109.3011106982	0
PWY-5913: TCA cycle VI (obligate autotrophs)|unclassified	868.9119893666	1235.7783072122
PWY-5918: superpathay of heme biosynthesis from glutamate|g__Massilia.s__Massilia_sp_LC238	2171.3122572007	1550.3213435060
PWY-5918: superpathay of heme biosynthesis from glutamate|unclassified	540.4449295881	849.9786948676
PWY-5920: superpathway of heme biosynthesis from glycine|unclassified	193.1837317337	503.8380432417
PWY-5941: glycogen degradation II (eukaryotic)|unclassified	212.9519014455	389.1642902715
PWY-5973: cis-vaccenate biosynthesis|g__Acidovorax.s__Acidovorax_avenae	1179.1682256376	3126.8581821424
PWY-5973: cis-vaccenate biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	322.4641064469	664.3865443048
PWY-5973: cis-vaccenate biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	19.0390656760	76.4108877111
PWY-5973: cis-vaccenate biosynthesis|unclassified	601.6982084119	846.9484080669
PWY-5989: stearate biosynthesis II (bacteria and plants)|g__Acidovorax.s__Acidovorax_avenae	1529.6602913838	4124.6602530294
PWY-5989: stearate biosynthesis II (bacteria and plants)|unclassified	747.9393815037	1103.9093276345
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	628.2595423098	1767.7096441023
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	287.5611054451	582.7463348323
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	967.4443064412	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Massilia.s__Massilia_sp_LC238	2221.9187368207	2007.0480856136
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	38.5994984139	72.1200541476
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	536.3581473808	873.8033848530
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	690.4193338620	1857.2924758307
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Caulobacter.s__Caulobacter_sp_774	317.6934753637	659.1308303299
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Massilia.s__Massilia_sp_BSC265	1109.8846012926	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Massilia.s__Massilia_sp_LC238	2434.3742184936	2317.8006159120
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	39.5640811101	90.7355116180
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	462.1108781690	752.6296344530
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Acidovorax.s__Acidovorax_avenae	942.7653692274	1979.9798657043
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Caulobacter.s__Caulobacter_sp_774	248.1393054205	516.9532951542
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Massilia.s__Massilia_sp_BSC265	1083.0122258610	0
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Massilia.s__Massilia_sp_LC238	3138.2295643614	2613.6483533727
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Sphingobium.s__Sphingobium_yanoikuyae	0	47.3800888086
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	429.3104924812	639.3498769356
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	935.4829998495	2051.6610299592
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Caulobacter.s__Caulobacter_sp_774	250.7890203204	514.4648663917
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Massilia.s__Massilia_sp_BSC265	1070.4324194425	0
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Massilia.s__Massilia_sp_LC238	3293.5737475153	2702.5000463361
PWY-6124: inosine-5'-phosphate biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	0	62.1163363409
PWY-6124: inosine-5'-phosphate biosynthesis II|unclassified	369.8166338054	486.8729347172
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	1187.5355783901	2557.9038636208
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Caulobacter.s__Caulobacter_sp_774	259.4408651280	589.7206697737
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_BSC265	1321.1116439406	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_LC238	2555.5595313470	2757.7727441828
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	31.0562363994	56.8553652670
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	406.0354442527	772.0136846763
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Acidovorax.s__Acidovorax_avenae	470.3725276668	1147.0520103671
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Massilia.s__Massilia_sp_BSC265	1328.4613541016	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Sphingobium.s__Sphingobium_yanoikuyae	32.0376761513	65.9838733271
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|unclassified	459.2990842399	659.1784085517
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	31.0277572677	79.3034741211
PWY-6151: S-adenosyl-L-methionine cycle I|unclassified	310.9457559014	496.8600201084
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Acidovorax.s__Acidovorax_avenae	321.2987066210	892.3283770062
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Caulobacter.s__Caulobacter_sp_774	260.8049895154	582.0853694615
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Massilia.s__Massilia_sp_BSC265	458.6284071503	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Massilia.s__Massilia_sp_LC238	2238.0950141222	1594.6327389282
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Sphingobium.s__Sphingobium_yanoikuyae	0	44.9194078638
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	809.7339116373	1240.3194203108
PWY-6168: flavin biosynthesis III (fungi)|g__Sphingobium.s__Sphingobium_yanoikuyae	0	53.9806158667
PWY-6168: flavin biosynthesis III (fungi)|unclassified	622.0514490006	906.4293833746
PWY-6182: superpathway of salicylate degradation|unclassified	966.1883995352	308.4321640661
PWY-6185: 4-methylcatechol degradation (ortho cleavage)|g__Acidovorax.s__Acidovorax_avenae	481.0641841346	991.9537416848
PWY-6185: 4-methylcatechol degradation (ortho cleavage)|unclassified	886.0493392879	270.3216099817
PWY-622: starch biosynthesis|unclassified	349.5013360880	611.2640692840
PWY-6270: isoprene biosynthesis I|unclassified	105.1882632170	183.4364575149
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Acidovorax.s__Acidovorax_avenae	690.4193338620	1857.2924758307
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	317.6934753637	659.1308303299
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Massilia.s__Massilia_sp_BSC265	1109.8846012926	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Massilia.s__Massilia_sp_LC238	2434.3742184936	2317.8006159120
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	39.5640811101	90.7355116180
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	462.1108781690	752.6296344530
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Acidovorax.s__Acidovorax_avenae	1464.7178292371	3944.1141617684
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|g__Caulobacter.s__Caulobacter_sp_774	354.7270941999	783.6231517408
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)|unclassified	716.8691933803	1054.6996081775
PWY-6305: putrescine biosynthesis IV|unclassified	128.8499648500	108.4845611790
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)|unclassified	56.9675376024	0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)|g__Acidovorax.s__Acidovorax_avenae	657.9253007736	1567.7944626506
PWY-6313: serotonin degradation|unclassified	75.3711337922	0
PWY-6317: galactose degradation I (Leloir pathway)|unclassified	674.2852438723	662.9935528101
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)|unclassified	805.5079523524	493.7830190151
PWY-6338: superpathway of vanillin and vanillate degradation|unclassified	263.8511640916	0
PWY-6353: purine nucleotides degradation II (aerobic)|unclassified	508.0341515188	652.1848642970
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Acidovorax.s__Acidovorax_avenae	689.5023762606	1703.6057917076
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Caulobacter.s__Caulobacter_sp_774	235.6397615763	526.7617097349
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Massilia.s__Massilia_sp_BSC265	737.8347651056	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Massilia.s__Massilia_sp_LC238	2082.7957847518	1612.7007496755
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Sphingobium.s__Sphingobium_yanoikuyae	22.4543845957	53.1186915489
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	1054.6736086985	1580.3190394825
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Acidovorax.s__Acidovorax_avenae	552.6423487584	1398.6445607198
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Caulobacter.s__Caulobacter_sp_774	228.2873421349	507.9755224874
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Massilia.s__Massilia_sp_BSC265	512.3916569261	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Massilia.s__Massilia_sp_LC238	1932.5156146292	1447.3360189311
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Sphingobium.s__Sphingobium_yanoikuyae	19.1693458379	39.8933514398
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	947.5161901282	1440.8032393255
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Acidovorax.s__Acidovorax_avenae	615.1687528590	1524.4421207945
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Caulobacter.s__Caulobacter_sp_774	225.4823446938	504.5720274288
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Massilia.s__Massilia_sp_BSC265	663.2528882968	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Massilia.s__Massilia_sp_LC238	1987.3085121017	1484.0297450576
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Sphingobium.s__Sphingobium_yanoikuyae	21.8579207810	50.9064330564
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	977.2480540985	1492.8845121114
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation|unclassified	90.3915507225	70.1050899647
PWY-6519: 8-amino-7-oxononanoate biosynthesis I|unclassified	775.2877524308	1124.5120997490
PWY-6527: stachyose degradation|unclassified	419.1666577224	207.6859536595
PWY-6538: caffeine degradation III (bacteria, via demethylation)|unclassified	141.7772870978	0
PWY-6545: pyrimidine deoxyribonucleotides de novo biosynthesis III|unclassified	446.5330872976	939.6041363362
PWY-6549: L-glutamine biosynthesis III|unclassified	234.0837009283	0
PWY-6595: superpathway of guanosine nucleotides degradation (plants)|g__Massilia.s__Massilia_sp_LC238	1405.4874399654	885.9170123277
PWY-6595: superpathway of guanosine nucleotides degradation (plants)|unclassified	1100.0347420363	1169.8324231282
PWY-6606: guanosine nucleotides degradation II|g__Acidovorax.s__Acidovorax_avenae	996.7589284399	2788.7893626811
PWY-6606: guanosine nucleotides degradation II|g__Massilia.s__Massilia_sp_LC238	1484.3869131355	926.1137231072
PWY-6606: guanosine nucleotides degradation II|unclassified	1172.2336955602	1296.7069928151
PWY-6608: guanosine nucleotides degradation III|g__Acidovorax.s__Acidovorax_avenae	996.7589284399	2788.7893626811
PWY-6608: guanosine nucleotides degradation III|g__Massilia.s__Massilia_sp_LC238	2148.2782598860	1264.6034907473
PWY-6608: guanosine nucleotides degradation III|unclassified	653.1350405462	642.3979218775
PWY-6609: adenine and adenosine salvage III|unclassified	161.6369985235	221.7146636262
PWY-6612: superpathway of tetrahydrofolate biosynthesis|unclassified	132.2458783910	335.1395221623
PWY-6628: superpathway of L-phenylalanine biosynthesis|unclassified	206.4686637354	567.1959386886
PWY-6641: superpathway of sulfolactate degradation|unclassified	148.4700545197	0
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate|unclassified	297.0802843259	112.6001868730
PWY-6700: queuosine biosynthesis|g__Acidovorax.s__Acidovorax_avenae	785.3998953165	1591.5195893698
PWY-6700: queuosine biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	281.6524025720	591.8718529175
PWY-6700: queuosine biosynthesis|g__Massilia.s__Massilia_sp_BSC265	957.0941930534	0
PWY-6700: queuosine biosynthesis|g__Massilia.s__Massilia_sp_LC238	2665.8586595236	1976.2551331908
PWY-6700: queuosine biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	38.5205300587	69.8942815557
PWY-6700: queuosine biosynthesis|unclassified	460.2021361153	867.6744647956
PWY-6703: preQ0 biosynthesis|g__Acidovorax.s__Acidovorax_avenae	868.6082149166	2236.0330432672
PWY-6703: preQ0 biosynthesis|g__Caulobacter.s__Caulobacter_sp_774	295.7041524659	637.7742864765
PWY-6703: preQ0 biosynthesis|g__Massilia.s__Massilia_sp_BSC265	201.7546824788	0
PWY-6703: preQ0 biosynthesis|g__Massilia.s__Massilia_sp_LC238	2700.6227705285	1968.2888737302
PWY-6703: preQ0 biosynthesis|g__Sphingobium.s__Sphingobium_yanoikuyae	27.7965621204	47.2858400917
PWY-6703: preQ0 biosynthesis|unclassified	661.3663822889	925.0005784531
